data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-04-07T08:00:00;Padova;Azienda Ospedale Universita' di Padova;118;23;164;35
2020-04-07T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;1
2020-04-07T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;69;22;128;73
2020-04-07T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;36;25;25;16
2020-04-07T08:00:00;Belluno;Ospedale Belluno;40;9;36;18
2020-04-07T08:00:00;Belluno;Ospedale Feltre;8;0;9;5
2020-04-07T08:00:00;Treviso;Ospedale Treviso;78;22;144;69
2020-04-07T08:00:00;Treviso;Ospedale Oderzo;11;6;10;9
2020-04-07T08:00:00;Treviso;Ospedale Conegliano;5;6;15;16
2020-04-07T08:00:00;Treviso;Ospedale Vittorio Veneto *;112;6;69;13
2020-04-07T08:00:00;Treviso;Ospedale Castelfranco;23;0;26;7
2020-04-07T08:00:00;Treviso;Ospedale Montebelluna;18;9;30;9
2020-04-07T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;43;0;9;1
2020-04-07T08:00:00;Venezia;Ospedale Mestre;33;14;43;27
2020-04-07T08:00:00;Venezia;Ospedale Venezia;10;6;13;9
2020-04-07T08:00:00;Venezia;Ospedale Mirano;2;8;7;6
2020-04-07T08:00:00;Venezia;Ospedale Dolo *;90;11;35;30
2020-04-07T08:00:00;Venezia;Ospedale Chioggia;0;0;0;3
2020-04-07T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;45;0;28;3
2020-04-07T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-04-07T08:00:00;Venezia;Ospedale Jesolo *;45;11;34;19
2020-04-07T08:00:00;Venezia;Casa di Cura Rizzola;10;0;4;1
2020-04-07T08:00:00;Rovigo;Ospedale Rovigo;8;0;16;3
2020-04-07T08:00:00;Rovigo;Ospedale Trecenta *;29;12;1;3
2020-04-07T08:00:00;Rovigo;Ospedale Adria;1;0;0;0
2020-04-07T08:00:00;Padova;Ospedale Schiavonia *;116;21;127;49
2020-04-07T08:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-04-07T08:00:00;Padova;Ospedale Cittadella;0;5;5;2
2020-04-07T08:00:00;Padova;Ospedale Camposampiero;5;0;0;5
2020-04-07T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-04-07T08:00:00;Vicenza;Ospedale Santorso *;113;15;39;21
2020-04-07T08:00:00;Vicenza;Ospedale Bassano;8;5;15;11
2020-04-07T08:00:00;Vicenza;Ospedale Asiago;4;0;7;10
2020-04-07T08:00:00;Vicenza;Ospedale Vicenza;70;20;54;45
2020-04-07T08:00:00;Vicenza;Ospedale Noventa Vicentina;21;0;15;0
2020-04-07T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;1
2020-04-07T08:00:00;Vicenza;Ospedale Valdagno;18;0;2;3
2020-04-07T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-04-07T08:00:00;Verona;Ospedale Legnago;63;7;14;33
2020-04-07T08:00:00;Verona;Ospedale San Bonifacio;29;6;6;9
2020-04-07T08:00:00;Verona;Ospedale Villafranca *;116;13;57;26
2020-04-07T08:00:00;Verona;Ospedale Marzana;46;0;2;1
2020-04-07T08:00:00;Verona;Ospedale Bussolengo;5;0;0;0
2020-04-07T08:00:00;Verona;Ospedale Malcesine;1;0;0;0
2020-04-07T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-04-07T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;86;6;44;23
2020-04-07T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;44;9;34;19
2020-04-07T08:00:00;Belluno;Ospedale di Comunità Belluno;14;0;3;3
2020-04-07T08:00:00;Belluno;Ospedale Agordo;13;0;0;1
2020-04-07T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;32;0;0;1
2020-04-07T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;23;0;0;1
2020-04-07T08:00:00;Treviso;Ospedale di Comunità Vittorio Veneto;25;0;5;2
2020-04-07T08:00:00;Venezia;Casa di Cura Rizzola - OdC;8;0;2;0
2020-04-07T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;14;0;8;1
2020-04-07T08:00:00;Padova;Ospedale di Comunità Camposampiero;7;0;8;0
2020-04-07T08:00:00;Vicenza;Ospedale di Comunità Marostica;9;0;0;0
