data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-04-16T17:00:00;Padova;Azienda Ospedale Universita' di Padova;73;17;236;53
2020-04-16T17:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;1
2020-04-16T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;46;15;168;88
2020-04-16T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;22;25;43;22
2020-04-16T17:00:00;Belluno;Ospedale Belluno;40;8;55;24
2020-04-16T17:00:00;Belluno;Ospedale Feltre;0;0;12;6
2020-04-16T17:00:00;Treviso;Ospedale Treviso;39;12;185;88
2020-04-16T17:00:00;Treviso;Ospedale Oderzo;9;7;16;12
2020-04-16T17:00:00;Treviso;Ospedale Conegliano;1;3;16;20
2020-04-16T17:00:00;Treviso;Ospedale Vittorio Veneto *;57;4;125;25
2020-04-16T17:00:00;Treviso;Ospedale Castelfranco;4;0;37;8
2020-04-16T17:00:00;Treviso;Ospedale Montebelluna;14;4;40;12
2020-04-16T17:00:00;Treviso;Ospedale S. Camillo-Treviso *;49;0;10;1
2020-04-16T17:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;4;0;0;0
2020-04-16T17:00:00;Venezia;Ospedale Mestre;28;9;60;33
2020-04-16T17:00:00;Venezia;Ospedale Venezia;8;6;19;11
2020-04-16T17:00:00;Venezia;Ospedale Mirano;0;5;9;6
2020-04-16T17:00:00;Venezia;Ospedale Dolo *;81;8;60;47
2020-04-16T17:00:00;Venezia;Ospedale Chioggia;2;0;0;3
2020-04-16T17:00:00;Venezia;Ospedale Villa Salus-Mestre *;48;0;55;4
2020-04-16T17:00:00;Venezia;Ospedale San Dona' di Piave;1;0;0;0
2020-04-16T17:00:00;Venezia;Ospedale Jesolo *;36;4;53;23
2020-04-16T17:00:00;Venezia;Casa di Cura Rizzola;10;0;7;1
2020-04-16T17:00:00;Rovigo;Ospedale Rovigo;5;0;20;6
2020-04-16T17:00:00;Rovigo;Ospedale Trecenta *;44;9;4;15
2020-04-16T17:00:00;Rovigo;Ospedale Adria;1;0;1;0
2020-04-16T17:00:00;Padova;Ospedale Schiavonia *;108;7;183;71
2020-04-16T17:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-04-16T17:00:00;Padova;Ospedale Cittadella;0;3;2;5
2020-04-16T17:00:00;Padova;Ospedale Camposampiero;4;0;1;6
2020-04-16T17:00:00;Vicenza;Ospedale Santorso *;139;8;84;38
2020-04-16T17:00:00;Vicenza;Ospedale Bassano;0;2;20;12
2020-04-16T17:00:00;Vicenza;Ospedale Asiago;1;0;7;10
2020-04-16T17:00:00;Vicenza;Ospedale Vicenza;54;16;80;56
2020-04-16T17:00:00;Vicenza;Ospedale Noventa Vicentina;23;0;26;0
2020-04-16T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;1
2020-04-16T17:00:00;Vicenza;Ospedale Valdagno;19;0;8;3
2020-04-16T17:00:00;Verona;Ospedale Legnago;58;7;34;37
2020-04-16T17:00:00;Verona;Ospedale San Bonifacio;11;0;20;18
2020-04-16T17:00:00;Verona;Ospedale Villafranca *;102;10;94;45
2020-04-16T17:00:00;Verona;Ospedale Marzana;67;0;3;2
2020-04-16T17:00:00;Verona;Ospedale Bussolengo;29;0;8;1
2020-04-16T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;66;8;80;26
2020-04-16T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;51;3;67;29
2020-04-16T17:00:00;Padova;IRCCS - IOV;1;0;0;0
2020-04-16T17:00:00;Belluno;Ospedale di Comunita' Belluno;13;0;14;6
2020-04-16T17:00:00;Belluno;Ospedale Agordo;14;0;4;1
2020-04-16T17:00:00;Treviso;Ospedale di Comunita' Castelfranco;1;0;1;0
2020-04-16T17:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;27;0;10;3
2020-04-16T17:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;23;0;4;4
2020-04-16T17:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;25;0;19;2
2020-04-16T17:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;1;0;0;0
2020-04-16T17:00:00;Venezia;Casa di Cura Rizzola - OdC;10;0;3;0
2020-04-16T17:00:00;Venezia;Ospedale di Cinto Caomaggiore;1;0;0;0
2020-04-16T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;7;0;17;1
2020-04-16T17:00:00;Padova;Ospedale di Comunita' Camposampiero;9;0;11;0
2020-04-16T17:00:00;Vicenza;Ospedale di Comunita' Marostica;19;0;2;2
2020-04-16T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-04-16T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-04-16T17:00:00;Verona;Ospedale Malcesine;0;0;0;0
2020-04-16T17:00:00;Venezia;Ospedale Portogruaro;0;0;0;0
