data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-04-29T08:00:00;Padova;Azienda Ospedale Universita' di Padova;54;12;34;283;59
2020-04-29T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;1
2020-04-29T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;28;10;9;196;104
2020-04-29T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;14;11;5;68;29
2020-04-29T08:00:00;Belluno;Ospedale Belluno;42;6;3;67;39
2020-04-29T08:00:00;Belluno;Ospedale Feltre;0;0;0;12;6
2020-04-29T08:00:00;Treviso;Ospedale Treviso;24;7;4;206;98
2020-04-29T08:00:00;Treviso;Ospedale Oderzo;10;0;3;19;18
2020-04-29T08:00:00;Treviso;Ospedale Conegliano;3;1;0;16;20
2020-04-29T08:00:00;Treviso;Ospedale Vittorio Veneto *;58;6;20;165;29
2020-04-29T08:00:00;Treviso;Ospedale Castelfranco;1;0;0;39;8
2020-04-29T08:00:00;Treviso;Ospedale Montebelluna;13;0;4;47;12
2020-04-29T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;16;0;4;42;4
2020-04-29T08:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;8;0;8;0;0
2020-04-29T08:00:00;Venezia;Ospedale Mestre;14;3;11;75;38
2020-04-29T08:00:00;Venezia;Ospedale Venezia;6;0;6;25;14
2020-04-29T08:00:00;Venezia;Ospedale Mirano;2;0;1;9;9
2020-04-29T08:00:00;Venezia;Ospedale Dolo *;71;9;25;87;69
2020-04-29T08:00:00;Venezia;Ospedale Chioggia;1;0;1;1;3
2020-04-29T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;37;0;10;81;8
2020-04-29T08:00:00;Venezia;Ospedale Jesolo *;29;4;13;72;25
2020-04-29T08:00:00;Venezia;Casa di Cura Rizzola;4;0;1;14;1
