data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-04-23T08:00:00;Padova;Azienda Ospedale Universita' di Padova;64;13;33;266;56
2020-04-23T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;1
2020-04-23T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;44;10;13;185;98
2020-04-23T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;20;11;9;63;26
2020-04-23T08:00:00;Belluno;Ospedale Belluno;44;7;0;63;31
2020-04-23T08:00:00;Belluno;Ospedale Feltre;0;0;0;12;6
2020-04-23T08:00:00;Treviso;Ospedale Treviso;36;9;10;196;95
2020-04-23T08:00:00;Treviso;Ospedale Oderzo;5;4;2;17;18
2020-04-23T08:00:00;Treviso;Ospedale Conegliano;1;1;0;16;20
2020-04-23T08:00:00;Treviso;Ospedale Vittorio Veneto *;61;5;21;147;26
2020-04-23T08:00:00;Treviso;Ospedale Castelfranco;1;0;0;38;8
2020-04-23T08:00:00;Treviso;Ospedale Montebelluna;14;1;7;44;12
2020-04-23T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;26;0;3;30;4
2020-04-23T08:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;5;0;5;0;0
2020-04-23T08:00:00;Venezia;Ospedale Mestre;16;5;16;69;37
2020-04-23T08:00:00;Venezia;Ospedale Venezia;9;4;8;22;11
2020-04-23T08:00:00;Venezia;Ospedale Mirano;2;0;1;9;8
2020-04-23T08:00:00;Venezia;Ospedale Dolo *;68;5;21;84;59
2020-04-23T08:00:00;Venezia;Ospedale Chioggia;0;0;0;1;3
2020-04-23T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;45;0;16;70;5
2020-04-23T08:00:00;Venezia;Ospedale San Dona' di Piave;1;0;1;0;0
2020-04-23T08:00:00;Venezia;Ospedale Jesolo *;31;5;11;66;23
2020-04-23T08:00:00;Venezia;Casa di Cura Rizzola;4;0;2;13;1
2020-04-23T08:00:00;Rovigo;Ospedale Rovigo;1;0;1;22;5
2020-04-23T08:00:00;Rovigo;Ospedale Trecenta *;47;7;14;4;19
2020-04-23T08:00:00;Rovigo;Ospedale Adria;2;0;2;1;0
2020-04-23T08:00:00;Padova;Ospedale Schiavonia *;103;5;5;205;84
2020-04-23T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1;0
2020-04-23T08:00:00;Padova;Ospedale Cittadella;0;0;0;2;7
2020-04-23T08:00:00;Padova;Ospedale Camposampiero;5;0;1;1;6
2020-04-23T08:00:00;Padova;Ospedale Conselve;1;0;1;0;0
2020-04-23T08:00:00;Vicenza;Ospedale Santorso *;117;9;40;113;50
2020-04-23T08:00:00;Vicenza;Ospedale Bassano;0;1;0;20;12
