data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-04-24T08:00:00;Padova;Azienda Ospedale Universita' di Padova;65;11;33;270;56
2020-04-24T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;1
2020-04-24T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;43;10;12;189;98
2020-04-24T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;17;11;7;66;26
2020-04-24T08:00:00;Belluno;Ospedale Belluno;43;7;1;64;32
2020-04-24T08:00:00;Belluno;Ospedale Feltre;0;0;0;12;6
2020-04-24T08:00:00;Treviso;Ospedale Treviso;35;8;7;198;95
2020-04-24T08:00:00;Treviso;Ospedale Oderzo;7;3;3;17;18
2020-04-24T08:00:00;Treviso;Ospedale Conegliano;3;0;0;16;20
2020-04-24T08:00:00;Treviso;Ospedale Vittorio Veneto *;59;6;31;148;26
2020-04-24T08:00:00;Treviso;Ospedale Castelfranco;4;0;0;38;8
2020-04-24T08:00:00;Treviso;Ospedale Montebelluna;11;0;3;47;12
2020-04-24T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;19;0;5;39;4
2020-04-24T08:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;8;0;8;0;0
2020-04-24T08:00:00;Venezia;Ospedale Mestre;17;5;16;69;37
2020-04-24T08:00:00;Venezia;Ospedale Venezia;8;4;9;22;11
2020-04-24T08:00:00;Venezia;Ospedale Mirano;1;0;1;9;9
2020-04-24T08:00:00;Venezia;Ospedale Dolo *;67;5;20;85;62
2020-04-24T08:00:00;Venezia;Ospedale Chioggia;0;0;0;1;3
2020-04-24T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;47;0;15;71;5
2020-04-24T08:00:00;Venezia;Ospedale San Dona' di Piave;1;0;1;0;0
2020-04-24T08:00:00;Venezia;Ospedale Jesolo *;28;5;10;69;24
2020-04-24T08:00:00;Venezia;Casa di Cura Rizzola;4;0;2;13;1
2020-04-24T08:00:00;Rovigo;Ospedale Rovigo;1;0;1;22;5
2020-04-24T08:00:00;Rovigo;Ospedale Trecenta *;43;3;10;9;22
2020-04-24T08:00:00;Rovigo;Ospedale Adria;2;0;2;1;0
2020-04-24T08:00:00;Padova;Ospedale Schiavonia *;95;5;5;211;88
2020-04-24T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1;0
2020-04-24T08:00:00;Padova;Ospedale Cittadella;0;0;0;2;7
2020-04-24T08:00:00;Padova;Ospedale Camposampiero;5;0;2;1;6
2020-04-24T08:00:00;Padova;Ospedale Conselve;1;0;1;0;0
2020-04-24T08:00:00;Vicenza;Ospedale Santorso *;110;9;39;117;53
2020-04-24T08:00:00;Vicenza;Ospedale Bassano;1;0;0;20;12
2020-04-24T08:00:00;Vicenza;Ospedale Asiago;2;0;1;7;10
2020-04-24T08:00:00;Vicenza;Ospedale Vicenza;45;16;13;90;64
2020-04-24T08:00:00;Vicenza;Ospedale Noventa Vicentina;21;0;2;32;1
2020-04-24T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0;1
2020-04-24T08:00:00;Vicenza;Ospedale Valdagno;12;0;3;17;5
2020-04-24T08:00:00;Verona;Ospedale Legnago;42;7;14;48;43
2020-04-24T08:00:00;Verona;Ospedale San Bonifacio;7;0;0;20;21
2020-04-24T08:00:00;Verona;Ospedale Villafranca *;99;8;13;118;63
2020-04-24T08:00:00;Verona;Ospedale Marzana;60;0;28;16;3
2020-04-24T08:00:00;Verona;Ospedale Bussolengo;23;0;12;22;3
2020-04-24T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;53;6;17;101;30
2020-04-24T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;47;1;4;74;35
2020-04-24T08:00:00;Padova;IRCCS - IOV;3;0;3;0;0
2020-04-24T08:00:00;Belluno;Ospedale di Comunita' Belluno;15;0;0;18;9
2020-04-24T08:00:00;Belluno;Ospedale Agordo;19;0;4;8;1
2020-04-24T08:00:00;Treviso;Ospedale di Comunita' Castelfranco;2;0;1;2;0
2020-04-24T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;19;0;3;21;3
2020-04-24T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;7;0;4;19;4
2020-04-24T08:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;4;0;2;28;2
2020-04-24T08:00:00;Venezia;Casa di Cura Rizzola - OdC;8;0;2;4;0
2020-04-24T08:00:00;Venezia;Ospedale di Cinto Caomaggiore;2;0;2;0;0
2020-04-24T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;11;0;5;20;1
2020-04-24T08:00:00;Padova;Ospedale di Comunita' Camposampiero;11;0;8;11;0
2020-04-24T08:00:00;Vicenza;Ospedale di Comunita' Marostica;19;0;1;6;2
2020-04-24T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0;0
2020-04-24T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0;0
2020-04-24T08:00:00;Verona;Ospedale Malcesine;0;0;0;0;0
2020-04-24T08:00:00;Venezia;Ospedale Portogruaro;0;0;0;0;0
2020-04-24T08:00:00;Venezia;Casa di cura Policlinico San Marco Mestre;0;0;0;0;0
2020-04-24T08:00:00;Verona;Ospedale Bovolone;0;0;0;0;0
2020-04-24T08:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;0;0;0;0;0
